timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12.90,-1.7912,9.8547,-0.7587,2.0122,-0.6377,2.7431
29.70,-1.5749,9.7889,-0.7257,2.6510,-0.7158,1.1957
46.10,-1.4354,9.7131,-0.7965,2.0994,-0.6926,0.4505
62.70,-1.4449,9.7112,-0.6749,3.5600,0.5834,-1.0937
79.20,-1.4371,9.7109,-0.5588,3.4007,0.9594,-1.0930
95.90,-1.5359,9.6961,-0.5619,2.8685,0.9722,-0.8345
112.60,-1.5129,9.6014,-0.6585,2.6957,0.9541,-1.1503
129.80,-1.5038,9.6063,-0.7470,4.1216,1.6130,-2.3067
146.10,-1.5327,9.6092,-0.9399,8.2145,2.4876,-5.0183
162.60,-1.4243,9.6226,-0.8293,8.5071,2.1116,-8.5106
179.30,-1.1087,9.5652,-0.6916,4.5704,3.1443,-8.3153
196.10,-0.9987,9.4745,-0.4660,0.8350,5.1065,-7.2372
212.60,-1.1394,9.5530,-0.3627,-1.8292,7.2183,-6.1457
229.40,-1.1565,9.5438,-0.1667,-2.6440,8.6851,-5.2363
246.10,-1.4453,9.6119,-0.5125,-0.2046,9.8730,-6.4321
262.60,-1.5711,9.7941,-0.5457,3.7035,10.2956,-9.1675
279.40,-1.5690,9.7879,-0.3799,3.8658,8.2451,-12.9851
296.10,-1.2643,9.9338,-0.4692,1.8829,8.7574,-13.6302
312.80,-1.0799,10.0685,-0.7479,0.5571,11.2652,-16.2430
329.30,-0.9503,9.9862,-0.7296,-0.1253,15.3231,-20.1494
346.00,-0.8613,9.9967,-0.6194,-0.6920,20.7069,-24.1080
362.70,-0.5621,9.9435,-0.8192,-1.7124,27.4015,-28.1882
379.30,-0.4250,9.7645,-1.0313,-3.5230,35.4012,-33.1895
396.00,-0.3285,9.5785,-1.1634,-8.5056,55.5133,-50.2396
412.80,-0.5330,9.4338,-0.8482,-10.6379,66.7796,-60.9319
429.30,-1.1543,9.3287,-0.8269,-10.4854,75.4059,-71.4214
446.00,-2.2612,9.0508,-0.6004,-15.0950,79.2278,-83.4350
462.70,-5.1289,8.7140,0.4380,-25.6893,73.4919,-97.3658
479.30,-7.1687,9.6355,2.6204,-43.3516,63.5362,-99.5635
496.00,-9.1312,10.0568,5.2937,-74.0161,31.1007,-50.5730
512.70,-10.1761,10.9233,6.9303,-81.4824,9.6806,-6.3451
529.30,-10.4738,10.6002,7.7836,-85.8552,-10.7454,41.6069
546.10,-10.4217,9.9282,7.0106,-91.0392,-32.0178,85.6488
562.60,-9.1683,7.9692,4.7679,-92.1890,-57.1220,114.2220
579.40,-8.6040,7.2026,4.6189,-93.6125,-77.2181,132.5276
596.20,-8.6074,6.2137,4.9115,-84.6307,-106.6805,164.5339
613.60,-10.0322,5.4958,4.7161,-69.1081,-132.4844,179.4914
629.30,-9.8873,4.3523,4.6161,-50.6393,-165.5750,194.4670
646.00,-8.1790,3.3966,4.5240,-29.5962,-187.9670,215.3441
662.60,-6.1148,2.1814,3.9725,-10.4292,-207.9628,226.6185
679.30,-2.6064,1.3013,1.1416,2.4760,-241.1993,206.1920
696.00,-2.1708,1.1198,0.4936,27.6249,-247.1096,195.3228
712.60,-2.5095,0.9118,0.4013,78.7026,-250.1464,199.9860
729.30,-1.1095,0.0702,-0.1189,67.4012,-271.6535,199.3876
