timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
6.50,-0.9876,9.7568,-0.7212,3.2279,0.8083,0.5807
23.30,-0.5920,9.4820,-0.2838,3.7206,1.4413,0.0133
39.80,-0.7089,9.4740,0.0234,0.8011,2.9509,2.1634
56.80,-0.6281,9.4782,0.4245,-4.2019,4.2212,6.8363
73.20,-0.5583,9.3836,1.2025,-8.7891,6.6347,13.5433
89.90,-0.7870,9.3725,1.3661,-9.9786,10.7154,25.0469
106.50,-1.0761,9.2637,1.6016,-2.3504,10.6435,28.6721
123.30,-1.5650,9.2376,1.2156,10.5508,8.1852,28.8268
140.10,-1.5221,9.1471,0.9506,19.6454,4.9330,28.1820
156.50,-0.9392,8.8929,1.0461,24.4187,4.0643,29.0804
173.30,-0.1082,8.3783,2.5714,26.2635,4.9566,31.1979
190.20,-0.0708,7.9031,3.9084,36.0149,10.1745,50.3584
206.70,0.0489,7.1929,4.4710,34.3152,12.7726,73.0911
223.30,0.4553,6.3698,4.4496,26.7263,16.1979,98.9611
240.10,0.5762,5.6267,3.5253,26.8734,18.3535,119.3076
256.60,0.9014,5.0907,2.0253,33.1760,17.3627,131.1091
273.50,1.3722,4.4699,-0.4865,40.4115,11.8773,139.0331
290.30,2.2274,4.2384,-1.1594,47.7570,7.8783,144.7833
308.40,3.3564,3.7777,-1.9401,45.2771,17.3855,164.2597
323.60,4.2000,3.4093,-2.5271,23.7918,33.3269,181.0455
339.90,4.9824,2.6573,-3.1897,-5.1356,54.7945,203.4159
356.60,5.6458,2.0740,-5.4317,-40.8510,76.8726,223.3252
373.30,7.1839,1.8296,-7.0167,-104.8518,80.7576,235.8400
390.20,11.5792,3.5951,-15.3564,-155.3416,93.4052,219.7939
406.60,13.9722,4.3716,-15.9012,-157.7180,100.8926,190.2240
423.50,14.8316,5.1408,-16.3761,-135.1110,123.9988,128.8386
440.40,13.5629,6.8244,-17.2483,-133.9877,131.3020,97.3720
456.60,12.3884,9.2891,-18.4946,-147.7895,126.9735,66.4102
473.30,12.3642,12.3788,-19.8654,-166.1107,108.1883,34.6034
490.00,12.5544,18.5618,-17.8658,-187.2542,84.1046,-7.8889
506.60,11.2731,21.0651,-18.7691,-203.0565,62.1028,-28.0359
523.30,10.1860,22.5091,-20.7924,-261.9049,-5.0821,-58.0939
539.90,12.0227,22.1214,-22.5712,-287.8137,-57.6698,-95.6549
556.50,15.9803,22.0613,-22.6130,-283.9801,-100.0824,-143.9598
573.20,18.4283,22.1199,-19.9637,-252.1154,-115.2025,-188.2995
590.00,16.9830,23.2845,-16.9885,-192.5528,-117.4841,-233.3294
606.50,10.5720,19.2616,-15.9434,-157.8992,-106.3353,-265.9761
623.20,7.4719,16.9703,-14.3052,-114.4817,-83.8855,-309.6059
640.00,4.9656,14.7579,-12.6920,-83.8744,-66.1104,-319.7478
656.60,2.0916,11.0639,-9.7931,-64.7869,-43.3937,-326.6593
673.20,-1.4526,5.5798,-7.3964,-59.7475,-24.0707,-318.8344
690.10,-4.0865,-0.4337,-6.1873,-64.9742,-17.2025,-304.6855
706.60,-4.1250,-5.6340,-8.1475,-65.3058,-31.4641,-285.5691
723.80,-2.5383,-7.1804,-9.0005,-35.4230,-17.6677,-256.1439
740.00,-0.3943,-12.2970,-7.7851,79.3956,90.3891,-162.5702
756.60,2.2691,-19.1977,-2.0345,87.1707,117.1107,-114.2774
773.60,4.3102,-22.6682,3.0895,38.0769,101.3268,-81.0552
790.10,3.9623,-22.3615,3.7844,-12.1820,80.6126,-39.4354
806.60,1.9007,-18.9696,2.1727,-33.9721,68.0961,0.4463
823.30,0.4418,-10.5220,2.6929,-30.1946,73.1918,21.9646
840.40,1.8800,-8.3985,4.5290,-16.5115,92.5689,48.7568
856.70,2.6831,-5.8953,5.3876,-15.2707,123.4882,108.9288
873.60,2.3201,-2.2669,4.7758,-27.6242,129.3978,123.9735
890.30,2.1535,2.1721,3.5135,-40.1072,140.9071,127.8501
906.80,1.9244,6.6499,1.2393,-38.4724,164.4947,125.1890
923.30,3.0113,12.4512,-1.6092,-5.0966,214.3764,101.5614
940.10,2.7219,11.8759,-1.2704,69.2864,337.8004,76.3829
956.80,-0.6015,8.7756,-0.6617,111.7987,369.0157,56.9050
973.20,-4.4610,6.6338,0.8205,136.2360,355.4568,50.6917
990.20,-6.0701,8.4617,0.3652,123.2054,307.8572,31.7177
1007.00,-4.6469,11.4787,-2.5936,75.2863,257.1466,17.5001
1023.40,-2.0019,14.2147,-9.4865,57.6735,239.2604,-19.5472
1040.90,-5.3951,14.3175,-8.8024,133.1948,263.2315,-83.9803
1056.80,-9.4142,13.8619,-6.3813,181.4673,235.7666,-104.0002
1073.40,-11.1576,15.1518,-5.9926,192.5285,183.4264,-111.4251
1090.20,-9.8332,15.8602,-6.2051,175.9440,129.7588,-112.1179
1106.70,-6.7247,15.6367,-7.1501,155.2164,97.8162,-118.1740
1123.50,-3.2582,14.9274,-6.9747,141.4428,73.4991,-140.1171
1140.30,-3.2511,14.7092,-4.7329,124.1527,63.2804,-154.7627
1156.80,-5.2881,14.7251,-2.4221,101.5606,50.5847,-139.2477
1173.30,-6.6331,14.6795,-1.9811,87.9062,31.1982,-117.1314
1190.00,-6.4644,14.1833,-1.3473,72.0491,13.5164,-89.6019
1206.80,-5.5807,13.4148,-2.2515,60.8973,0.0843,-70.7687
1223.40,-3.8194,11.7134,-4.2354,55.6934,-10.8732,-63.3069
1239.90,-3.6030,10.9045,-3.6303,59.0884,-20.2505,-69.7151
1256.70,-2.8079,10.5430,-3.6348,115.8123,-39.6643,-105.8582
1275.60,-1.0588,9.9623,-1.8279,105.4382,-45.5422,-104.8102
1290.00,1.2859,9.4271,0.2573,74.9905,-38.0964,-84.9998
1311.80,2.2649,8.8152,2.4458,37.7057,-20.7714,-51.7442
1323.40,2.2649,8.8152,2.4458,13.8880,-5.6555,-14.4741
1342.40,0.1315,9.1074,1.3778,-2.5740,4.9340,15.0483
1358.80,-1.1743,9.4578,0.3164,6.1683,0.3389,23.9879
1375.80,-0.6393,9.4819,-0.2532,10.0982,-4.0136,18.0811
1390.10,-0.0955,9.6052,-0.1480,10.5208,-1.6178,14.9106
1406.90,0.0582,9.7055,0.2996,0.4807,4.0312,20.6835
1425.30,-0.9993,9.9617,0.4637,-10.0785,11.1998,30.9445
1442.30,-2.9102,10.1730,-0.5006,-16.5210,15.0472,37.9062
1458.10,-4.3859,10.9938,-1.4249,-13.3759,8.2579,37.7504
1473.60,-3.4106,10.0565,-1.8153,23.1758,-18.0658,4.6039
1492.40,-2.3376,10.3159,-2.0731,24.9424,-21.6106,-4.8567
1507.30,-1.3571,10.0626,-1.2660,19.8723,-19.7920,-8.6317
1526.00,-0.4017,9.5947,-0.3311,4.5096,-12.9636,-0.1941
1544.80,-0.8161,9.1840,-0.3587,-8.8017,-5.4469,8.5301
1557.40,-2.0312,9.5412,-0.8369,-12.7904,-2.1965,12.4174
1573.30,-1.9848,9.5427,-1.3179,-4.2275,-7.9877,8.4122
1591.00,-0.9857,9.3754,-0.8893,13.9580,-19.8943,-8.2251
1607.90,-0.4472,9.3969,-0.6230,14.4100,-18.1857,-10.8890
1625.40,0.1627,9.2147,-0.3352,8.8324,-12.0008,-9.8661
1639.80,0.4641,9.2170,0.0461,-0.6485,-2.9960,-5.1013
1658.20,-1.0819,9.4703,0.1836,-4.9984,3.7659,-0.5515
1673.40,-1.9939,9.7436,0.2397,-5.9544,4.2181,0.8675
1689.80,-1.8885,9.8487,-0.0792,5.3866,-8.5482,-0.9070
1706.40,-0.9661,9.6767,-0.0849,5.4758,-10.0519,0.2340
1723.10,-0.3444,9.5937,-0.1485,2.7129,-6.2245,1.6110
1740.50,-0.2362,9.5972,-0.3966,-3.5703,-1.0938,3.0897
1756.50,-0.4577,9.6916,-0.2892,-7.1955,2.6962,3.3654
1773.30,-1.7813,9.9495,-0.3517,-3.1332,2.3244,1.5589
1790.60,-1.3706,9.9645,-0.2015,4.0839,-6.6289,-2.3385
1806.40,-0.7462,9.6823,-0.1898,1.6729,-6.3628,-0.1293
1823.10,-0.3645,9.6925,-0.1488,-5.1422,-2.7945,3.1526
1839.80,-0.3823,9.6923,-0.1176,-10.5759,1.5672,6.3177
1856.40,-0.6021,9.7854,-0.1190,-12.7186,3.9971,7.9120
1873.20,-1.0316,9.7681,-0.2448,-10.4365,3.8402,7.8761
1891.10,-1.5293,9.7400,-0.6578,1.8752,-2.3824,2.5353
1906.40,-1.2187,9.6483,-0.7584,2.8139,-4.4787,1.1328
1923.20,-0.7754,9.5589,-1.1162,1.4047,-3.8805,-1.2564
1939.90,-0.3872,9.4772,-1.0500,-1.2290,-0.4867,-2.7681
1956.40,-0.7009,9.5713,-0.8417,-3.0544,2.0437,-3.9069
1973.20,-1.3422,9.6507,-0.4920,-4.0807,2.4975,-3.7802
1990.30,-1.3252,9.6427,-0.7754,-2.2385,0.9458,-3.2672
2018.70,-0.8006,9.4550,-1.0494,3.0828,-3.2339,-10.5631
2023.20,-0.8006,9.4550,-1.0494,4.0419,-1.9988,-10.6291
2039.80,-0.6576,9.7844,-0.0505,0.6828,-0.1752,-8.3728
2056.50,-0.7732,9.6903,0.3319,-4.3516,1.6842,-2.4570
2073.20,-1.1765,9.8634,-0.1362,-5.7820,2.3514,2.0997
2089.90,-1.3877,10.0429,-0.4834,-2.3108,1.7259,3.3513
