timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
14.20,-1.1227,9.7352,-1.1428,1.1171,1.0100,-0.7630
31.00,-1.2454,9.8135,-1.0554,0.8596,0.8718,-2.2318
47.60,-1.1578,9.8096,-0.8555,-0.6687,0.5476,-1.9807
64.20,-1.3007,9.8845,-0.7843,-1.7024,0.1366,-0.9503
81.00,-1.4005,9.8743,-0.9415,-2.6271,-0.7223,1.0800
97.60,-1.1417,9.9253,-1.2020,-1.3551,-2.1759,1.2488
114.30,-0.9475,9.8452,-1.0553,1.4791,-2.7900,-0.7198
130.90,-0.9777,9.9375,-0.9324,2.1560,-1.9394,-3.0903
147.60,-0.9687,9.8394,-0.9266,1.2057,-2.4003,-2.5641
164.30,-0.8882,9.8448,-0.7877,-0.5623,-2.3856,-1.7096
181.00,-0.7958,9.7504,-0.6601,-2.9609,-2.7406,0.2494
197.80,-0.5973,10.0141,-0.9280,-3.0895,-2.4126,0.8569
214.30,-0.5190,10.1389,-0.9507,-0.5543,-2.1534,-0.6048
231.00,-0.4386,10.3647,-0.9544,2.4260,-3.5121,-5.6329
247.70,-0.1109,10.5932,-0.6178,-0.1239,-4.9589,-6.5836
264.30,0.2802,10.9053,-0.0831,-2.4531,-5.8974,-5.2965
280.90,0.3839,11.6441,-0.1664,-4.9149,-8.3669,-4.4020
297.70,0.8525,12.8659,-0.4031,-6.1310,-12.9025,-5.3541
314.40,1.1954,13.2405,-0.4803,-3.3065,-17.8239,-8.5969
331.00,1.6096,13.6050,-0.3211,1.9901,-26.4348,-16.8244
347.60,2.1525,13.7253,0.2093,2.8577,-30.5382,-19.0474
366.20,2.8585,13.7285,1.0622,5.7344,-33.9670,-19.9655
380.90,3.5241,13.5418,1.6883,9.5982,-36.6861,-18.8884
399.80,5.1346,12.6587,2.2571,9.9723,-38.5524,-16.1804
416.80,5.5508,12.6420,1.8595,18.6579,-41.2533,-12.5360
433.10,6.0989,12.5496,0.9337,31.3779,-42.8179,-20.5054
452.00,7.3697,12.4581,0.3366,45.1772,-39.8365,-33.6184
465.50,9.0169,12.3303,0.3980,45.8363,-31.4946,-41.1674
482.50,9.6776,11.8595,1.6086,32.2299,-20.5683,-33.7554
498.70,9.2580,11.3941,2.2810,13.2179,-12.6302,-17.5674
515.30,6.6554,11.2500,0.8023,24.0907,-4.8115,-13.5018
531.50,3.6755,11.3074,-0.1115,59.5214,0.7932,-27.0912
548.20,4.2079,10.1480,-0.6871,72.0653,-14.8111,-56.0932
564.80,6.0064,8.0723,-0.8602,46.6588,0.3087,-56.0150
581.90,5.0183,5.8283,0.8644,2.5837,20.6708,-33.4261
598.70,2.2689,3.7935,2.3134,-16.7790,39.7255,-9.4830
614.80,-5.1811,2.4584,-2.2275,5.8942,57.2414,-18.6417
631.20,-9.0195,1.3893,-1.4725,47.9536,78.3233,-62.6444
648.80,-12.2064,1.9623,3.7965,29.2116,102.8301,-89.4571
665.00,-13.3639,2.8048,7.6098,-9.0832,109.0944,-39.2741
681.50,-15.2809,5.1816,7.3856,-20.8000,111.3894,7.8074
699.00,-17.6712,7.8090,3.5929,-4.0011,98.9844,20.8600
715.40,-19.1772,10.7848,0.9561,-1.8633,70.2802,15.2801
730.90,-17.2342,10.0015,1.0821,-5.4983,28.7519,17.0201
747.50,-16.1594,8.9498,0.9513,-8.3307,-8.6596,23.1702
766.80,-13.6846,6.8486,0.0965,-30.2561,-63.4264,36.3121
783.20,-10.5916,5.2880,-0.8157,-35.9196,-72.1058,30.3146
797.90,-8.1477,4.5322,-1.7789,-37.6438,-69.6334,17.9489
815.00,-6.7131,4.2891,-2.5588,-37.3859,-65.1953,-3.1319
830.90,-4.8536,4.2878,-1.1258,-28.0601,-57.6048,-27.4347
847.80,-3.3468,5.3780,5.6689,-19.3346,-45.2646,-37.4372
866.00,-1.8352,6.4523,5.7706,-44.3690,-25.9474,27.3851
880.90,-0.7325,8.1113,2.9647,-81.0169,-19.0065,64.2893
897.70,-0.1373,9.0208,0.0813,-93.2690,-16.5911,69.2837
914.10,0.8315,9.0199,-1.3746,-74.5457,-10.3717,40.1580
930.90,1.5761,8.8143,0.0567,-41.7234,4.6365,10.4705
948.00,1.4684,11.0908,4.1556,-24.7421,17.9006,5.2678
964.20,0.7657,11.9915,2.3828,-32.1261,22.3336,30.4454
981.30,0.9844,12.2581,-1.2688,-68.5295,12.9305,63.7838
997.80,1.4488,11.7908,-2.7457,-58.6653,13.4136,38.0702
1014.30,0.9989,11.3353,-1.5240,-30.8251,21.2540,10.2748
1031.20,0.7630,11.5141,1.1374,-8.4244,25.4012,3.1350
1047.50,0.7239,13.1313,1.6749,-13.6867,26.0337,20.3661
1067.40,1.4781,13.2355,-0.5367,-53.6813,12.6367,52.1890
1080.90,2.1912,12.7537,-1.2492,-37.3939,14.9937,38.8304
1097.60,2.4353,12.3413,-1.8498,-9.6521,25.6443,17.6436
1114.20,1.4224,11.9485,-0.7624,3.9774,34.1626,5.0467
1131.00,-1.1214,12.5613,0.1302,1.4107,29.4089,7.6664
1147.60,-1.0823,12.1454,0.5369,-7.7331,15.8749,19.2678
1164.20,0.7268,11.7573,-0.4778,-13.9807,4.1460,30.6083
1181.70,2.1354,11.4795,-1.0256,-4.2252,9.8143,25.9275
1197.60,1.4993,11.6445,-1.5387,3.2107,17.9750,17.1012
1214.20,0.6674,11.7440,-1.4156,8.5117,23.2932,10.3454
1230.90,-0.6104,11.8585,-1.3013,3.9785,22.3312,10.0633
1247.60,-1.4050,11.7795,-1.3074,-5.4003,14.9775,14.4986
1264.30,-2.0186,11.3438,-2.3985,-12.3240,7.1482,18.0389
1280.90,-1.3790,10.9794,-2.9800,-8.4251,-1.6427,16.2391
1297.60,-0.8823,10.5776,-2.4628,12.2205,-7.8802,-0.7091
1314.20,-0.4144,10.2974,-1.8033,17.4513,-5.0714,-5.4474
1330.90,-0.1947,10.0617,-1.5182,18.5543,-2.1593,-8.3640
1347.80,0.1273,9.7640,-1.6304,14.7209,2.8529,-11.0962
1364.20,-2.4041,9.6523,-0.3528,5.6725,2.3378,-10.8888
1381.30,-2.4029,9.5376,-0.2017,0.9313,-4.7773,-5.8069
1397.70,-1.9638,9.5663,-0.8477,3.1304,-10.2432,0.8763
1414.70,-0.9589,9.3934,-1.0315,12.9389,-11.3985,0.0316
1431.00,-0.4860,9.4188,-1.1444,14.4686,-4.5684,-2.3767
1447.50,-0.0516,9.2011,-0.8932,12.1653,2.3955,-2.8840
1464.30,-1.9949,9.4737,-0.4572,10.4244,5.9591,-3.8524
1480.80,-2.4963,9.6384,-0.0985,2.9397,3.5433,-2.3050
1497.50,-2.0737,9.5611,-0.7039,4.0048,-4.5682,3.2655
1514.20,-1.4121,9.6138,-1.0103,7.2024,-3.7676,1.1958
1530.90,-1.0365,9.4918,-1.0258,9.1948,0.9800,-1.1289
1547.60,-1.1707,9.6048,-1.4166,7.2908,4.5099,-3.8465
1564.40,-1.1173,9.5804,-0.9940,4.9933,7.7991,-5.7456
1581.20,-2.7468,9.7235,-0.5726,3.5376,8.4878,-5.3191
1597.60,-2.8342,9.7012,-0.7107,4.6993,4.9321,-3.1113
1614.60,-2.2469,9.7172,-0.9933,4.3506,-2.4911,0.5715
1630.90,-2.0152,9.6579,-1.0969,0.8186,-3.2858,1.6010
1647.80,-1.6897,9.6175,-1.1565,-1.8900,-2.0867,2.3903
1664.30,-1.6904,9.7244,-1.2445,-1.5665,-0.5831,1.9432
1681.00,-1.7648,9.7148,-1.3701,1.0924,-0.2294,0.4626
1697.60,-1.7792,9.7027,-1.1759,3.4615,-0.5480,-1.0086
1714.20,-1.7630,9.7039,-1.1897,5.4756,-1.1698,-1.9542
1730.80,-1.6954,9.6004,-0.8820,0.9617,-3.5299,0.9083
1748.10,-1.7014,9.7050,-0.9789,0.8047,-3.2842,1.6113
1764.20,-1.5876,9.6239,-0.9589,0.7182,-2.6095,2.0506
1781.00,-1.6371,9.6305,-1.2625,-0.4286,-2.0060,2.1171
1797.60,-1.7140,9.5160,-1.2835,-0.5667,-1.7209,2.0143
1814.30,-1.6788,9.5269,-1.3818,-0.4908,-1.8950,1.7082
1831.00,-1.7260,9.5083,-1.1932,2.5696,-2.7072,0.3135
1847.70,-1.4806,9.4548,-1.2511,2.7201,-2.2424,-0.4388
1864.30,-1.2262,9.5975,-1.0695,1.8664,-0.1512,-0.5231
1881.40,-1.5217,9.5489,-1.1102,0.1136,1.2449,-0.0863
1897.90,-1.9237,9.6799,-1.2037,-0.4750,0.6877,0.8896
1914.30,-1.9051,9.6852,-1.3219,1.2196,-0.2057,0.2834
1931.00,-1.6274,9.6206,-1.0843,2.8369,-1.5058,-0.6668
1947.70,-1.7922,9.6798,-0.8118,-0.0067,-1.4106,2.0298
1964.30,-1.8745,9.7709,-0.9359,-3.6275,-2.1745,5.3668
1980.90,-1.5994,9.6268,-1.2070,-4.8082,-2.0038,6.1062
1997.90,-1.3172,9.6075,-1.7209,-1.7056,-1.3269,4.4967
2014.20,-1.2942,9.5102,-1.5942,1.4584,-0.0761,0.5453
2032.40,-1.5829,9.4927,-2.2547,2.3039,0.7465,-8.8088
2047.50,-1.8536,9.5470,-0.2968,6.2412,0.3911,-0.1840
2064.40,-1.9814,9.6177,-0.1516,-1.5717,-2.9677,3.7071
2080.90,-1.6343,9.6119,-1.0149,-1.0557,-3.0107,6.9333
2097.40,-1.1931,9.6305,-1.6851,-0.3329,-1.5279,5.1112
2114.50,-1.1931,9.6305,-1.6851,0.4894,0.0977,1.8141
2130.80,-1.7527,9.6237,-1.3425,1.1070,1.7638,-0.8909
