timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
11.30,-1.6724,9.7837,-1.1367,0.0387,0.5904,1.4353
26.50,-1.6100,9.8888,-0.9319,-5.5153,0.2571,4.4232
43.20,-1.7714,9.6676,-1.1705,-3.4023,-0.1896,4.9928
60.10,-1.6115,9.6920,-1.5582,2.0999,-1.5654,1.6583
76.60,-1.3844,9.6246,-1.6096,4.6128,-1.6068,-1.6218
93.20,-1.1360,9.5538,-1.1377,4.8634,-0.5381,-2.8702
110.00,-1.3094,9.6264,-0.6232,-0.0502,0.3968,0.0081
126.60,-1.2750,9.6399,-1.0086,-4.7371,0.6093,4.3461
143.20,-1.3468,9.7425,-1.3999,-6.3964,1.9671,5.3783
160.00,-1.5076,9.7300,-1.7190,-4.2548,1.7155,1.7954
176.60,-1.6116,9.6109,-1.5403,-4.3836,1.2462,-0.3881
193.40,-1.6523,9.7020,-1.4492,-5.7300,0.5687,-1.0311
210.10,-1.6589,9.7012,-1.6658,-11.4595,-0.4656,-0.7960
226.60,-1.5698,9.7153,-1.7462,-16.5301,-2.6358,-1.1616
243.30,-1.8379,9.6852,-2.1885,-18.3626,-2.9736,-2.1799
260.00,-2.0419,9.7575,-2.5280,-32.9319,-7.3859,-7.1455
277.30,-1.9662,9.7830,-3.2136,-46.2383,-10.7462,-13.2025
293.30,-1.7643,9.8344,-3.7460,-66.6567,-14.7805,-21.2158
310.00,-1.9694,9.8207,-4.6610,-93.5118,-20.6058,-31.0959
327.10,-1.8554,9.4586,-5.0588,-128.5275,-33.8766,-42.7027
343.60,-2.3589,9.1235,-5.3195,-158.5061,-42.7816,-54.3285
359.80,-3.8675,8.7840,-5.7891,-212.5300,-56.8595,-76.4570
376.70,-5.0902,7.9516,-5.3020,-248.5095,-85.1820,-81.5165
393.40,-6.4244,7.5561,-5.1780,-262.2947,-113.9108,-85.7846
410.00,-6.9813,6.7668,-5.6543,-269.4863,-141.2634,-87.9622
426.70,-8.0154,5.5603,-6.1226,-246.5540,-185.7068,-89.8050
443.60,-10.1354,4.5293,-6.9584,-223.6537,-198.0466,-97.7833
460.00,-11.7090,3.5537,-5.1780,-179.7389,-213.7487,-112.5128
476.70,-12.2097,3.4608,-2.7578,-137.7391,-214.6860,-106.8412
493.40,-12.3507,4.1732,-0.7030,-85.7205,-186.4436,-102.7847
510.00,-11.0581,4.9776,0.8071,-60.9554,-168.9808,-89.7817
526.80,-11.3953,3.9371,1.3475,-59.6300,-180.8243,-63.3807
543.50,-12.8737,-0.3217,0.6444,-36.5966,-211.4268,-44.1025
560.30,-11.2915,-0.8086,0.4985,-9.6338,-236.5120,-32.6698
576.80,-9.4672,-0.2317,2.2931,22.4194,-274.3425,-13.4304
593.40,-8.0520,0.4441,3.8024,38.3799,-260.9127,-9.2792
