timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9.00,-0.8558,9.7755,-1.6239,-1.8095,-0.5510,0.0445
18.40,-0.7830,9.7794,-1.4035,1.7991,-0.9539,-2.4705
35.10,-0.6167,9.7862,-1.1622,1.4786,-0.2589,-2.5173
51.90,-0.6337,9.7872,-1.0487,-2.0565,0.6425,-0.5899
68.30,-0.8403,9.8810,-1.1702,-5.3205,1.1370,1.6882
84.90,-0.9121,9.9793,-1.3828,-5.6411,0.4267,1.9328
101.60,-0.7867,10.0860,-1.6472,-3.0852,-0.9014,0.5557
118.20,-0.8023,10.0876,-1.6300,-0.7465,-2.0192,-1.3437
135.00,-0.6145,9.9970,-1.4771,-4.5953,-3.5458,-1.6405
151.70,-0.6305,9.9003,-1.4481,-7.0677,-3.6509,-0.6071
168.30,-0.7310,9.9018,-1.5331,-8.2411,-4.2069,-0.7186
185.30,-0.6299,9.8111,-1.5891,-7.5178,-4.7719,-1.9652
201.70,-0.6738,9.7150,-1.4369,-6.3669,-4.5068,-3.4542
218.60,-0.7350,9.6086,-1.2265,-6.4979,-4.4061,-4.4927
235.00,-0.6671,9.5102,-1.1001,-11.3842,-3.7017,-2.5821
252.20,-0.6864,9.5130,-1.1841,-12.7957,-2.7409,-1.5551
268.50,-0.8037,9.5099,-1.2909,-13.0062,-2.7824,-2.0968
285.40,-0.7216,9.5182,-1.3611,-11.7797,-2.4098,-3.5385
301.80,-0.6576,9.5235,-1.3307,-10.3929,-1.3918,-5.6133
318.60,-1.1697,9.5755,-1.0154,-9.5368,-0.2539,-7.0374
335.00,-1.1120,9.4699,-0.8330,-12.1320,-0.2970,-6.0775
351.90,-1.1448,9.4641,-0.8548,-12.6515,0.2008,-5.6106
368.40,-1.1655,9.4613,-0.9721,-12.5287,1.2622,-5.7156
385.20,-1.3247,9.4404,-0.8207,-11.4245,1.7983,-6.0305
401.90,-1.4922,9.5184,-0.6807,-10.3257,1.7152,-5.3420
418.60,-1.7469,9.5853,-0.8064,-10.5367,1.3882,-3.9028
435.40,-1.6492,9.5890,-0.9329,-9.9221,0.9116,-2.9209
451.80,-1.5395,9.5946,-1.1414,-9.9240,0.8887,-2.9215
468.60,-1.5718,9.5868,-1.1628,-8.4542,2.5788,-5.3401
485.20,-1.9298,9.7496,-1.0401,-6.9808,2.2740,-6.4496
501.80,-2.1764,9.8206,-0.9329,-3.9598,0.8010,-6.8664
518.70,-2.0904,9.8216,-0.9254,-1.1276,-1.3017,-6.4594
535.00,-1.9787,9.7343,-0.8409,3.0509,-2.5753,-7.7485
554.30,-1.9841,9.8369,-0.7738,10.6659,-3.8957,-10.2020
572.60,-1.9736,9.7502,-0.5084,9.7935,-4.6026,-8.8024
587.90,-1.9865,9.7626,-0.2369,9.4623,-5.5770,-6.3420
601.80,-1.6629,9.6931,-0.2213,9.7967,-5.5674,-3.9596
618.40,-1.5062,9.5999,-0.4051,11.5394,-5.0122,-3.1049
637.70,-1.2149,9.4195,-0.5544,14.8695,-3.8123,-2.9501
656.00,-1.0945,9.3310,-0.5144,15.3148,-2.2781,-2.7583
669.90,-0.9638,9.2473,-0.3732,13.6423,-0.0785,-1.4043
687.20,-0.9453,9.3541,-0.2605,10.7095,2.0959,1.6200
703.20,-0.9202,9.4574,-0.2484,8.8174,3.5798,5.6444
720.80,-0.8532,9.6468,-0.8009,9.5604,4.2260,8.2915
736.10,-1.0159,9.6317,-1.0855,11.8547,5.2299,8.6588
753.00,-1.0534,9.6315,-1.1765,14.6273,5.9452,6.5899
770.20,-1.2165,9.7257,-1.1922,15.1400,5.4117,6.5379
786.70,-1.1570,9.8254,-1.4874,14.0466,4.5013,6.6859
802.80,-0.9072,9.9394,-1.5605,11.6913,4.0458,7.0339
820.60,-0.7664,9.9526,-1.5161,9.2993,4.2962,7.5997
836.10,-1.2225,10.0414,-1.4579,8.8362,3.7486,8.6075
853.80,-1.1327,10.0431,-1.8500,11.4165,-1.0096,9.0263
868.50,-0.9589,9.9546,-2.0093,10.6332,-2.7145,7.8350
885.40,-0.5323,9.8778,-1.9095,9.1260,-2.7197,6.5970
901.70,-0.3923,9.7934,-1.9354,6.9311,-1.4280,5.8525
918.20,-0.5638,9.8995,-1.9136,4.3932,-0.9221,4.8466
935.00,-0.6369,9.9050,-1.8960,3.0569,-1.7639,3.5559
951.80,-0.6684,9.8078,-1.5653,3.5376,-2.3511,2.3233
969.50,-0.4657,9.7147,-1.4133,1.7810,-3.0933,1.9390
985.60,-0.3507,9.6218,-1.3668,-1.1204,-1.5741,2.8297
1001.70,-0.4847,9.7221,-1.3552,-4.2907,-0.6734,3.5660
1018.50,-0.4499,9.7308,-1.5295,-5.6107,-0.4965,2.8397
1035.10,-0.4470,9.7369,-1.6038,-4.7301,-0.8326,0.5219
1051.80,-0.3235,9.9390,-1.2088,-3.6688,-0.6479,-1.6401
1068.50,-0.5811,10.1263,-1.0341,-3.4062,-0.4119,-2.6903
1085.00,-0.5832,10.1261,-1.0352,-7.0805,-1.9146,0.2238
1101.70,-0.6506,10.1311,-1.2483,-8.8482,-2.6796,0.6242
1118.30,-0.7321,10.1386,-1.5531,-9.3227,-3.2633,-1.3332
1134.80,-0.7488,10.1411,-1.6453,-8.5623,-4.0621,-4.5052
1151.50,-0.7962,10.1326,-1.4443,-8.0576,-5.2648,-7.2283
1168.60,-0.6112,10.1285,-1.0816,-8.0591,-6.4403,-8.8619
1185.10,-0.4708,10.1278,-0.8343,-9.8849,-7.9327,-8.6633
1201.70,-0.4008,10.1366,-0.8941,-10.4557,-7.9924,-8.3031
1218.20,-0.5254,10.1377,-0.9802,-10.4967,-8.2735,-9.2319
1235.00,-0.5623,10.0382,-0.9588,-9.4342,-7.8745,-10.4512
1251.80,-0.5840,10.0386,-0.9406,-9.0216,-7.8108,-11.2917
1268.20,-1.0835,9.7937,-0.7207,-9.8901,-7.6593,-11.0137
1285.20,-1.1083,9.6852,-0.6468,-11.1305,-8.3346,-9.8436
1301.70,-1.1225,9.5854,-0.7676,-13.2337,-9.9727,-6.7316
1318.60,-0.9523,9.4949,-0.7487,-14.4266,-9.7377,-6.0367
1335.00,-0.8692,9.4046,-0.8299,-15.0278,-8.9494,-5.5455
1351.70,-0.7964,9.3104,-0.8079,-14.2089,-7.8034,-6.0987
1368.30,-0.9881,9.2856,-0.6170,-12.9193,-6.4662,-6.5277
1385.00,-0.9630,9.2774,-0.4151,-13.1542,-5.7532,-6.6661
1401.60,-1.1180,9.2538,-0.2402,-15.4066,-2.8021,-4.3915
1418.20,-1.3584,9.3295,-0.2918,-16.5043,-2.5281,-3.0059
1434.90,-1.4996,9.3093,-0.2404,-16.7686,-2.6776,-1.3768
1451.60,-1.3181,9.2304,-0.4496,-16.0061,-2.7018,-0.8696
1468.10,-1.0669,9.2624,-0.6170,-14.8413,-1.1373,-1.9624
1485.00,-1.1203,9.2497,-0.4219,-13.2837,0.4712,-4.1257
1501.60,-1.2844,9.3241,-0.2496,-10.3983,2.0530,-6.7381
1518.40,-1.4232,9.3997,0.0078,-5.6585,4.0590,-8.4956
1535.00,-1.4676,9.4904,0.1663,-6.4046,4.3909,-6.9218
1551.60,-1.6013,9.5734,0.2138,-9.0068,4.9830,-3.7745
1568.30,-1.6354,9.6692,0.2663,-11.5235,5.0008,-0.2249
1586.90,-1.7620,9.7543,-0.3152,-11.6137,4.9282,2.2986
1602.90,-1.5468,9.6808,-0.6160,-7.9723,4.3882,1.6114
1620.20,-1.5468,9.6807,-0.6181,-0.2462,5.3141,-3.7775
1636.50,-1.6793,9.7635,-0.3384,-0.2136,5.5156,-3.2807
1652.70,-1.7908,9.7485,-0.1732,-2.4448,4.7193,-0.0334
1669.30,-1.7900,9.7481,-0.2025,-4.5002,4.2685,3.1334
1685.50,-1.7796,9.7433,-0.6414,-4.4845,3.3843,4.5139
1702.70,-1.7782,9.7430,-0.6490,-1.5578,3.0631,3.5959
1719.30,-1.7701,9.7427,-0.7523,5.7125,2.9957,0.7766
1735.90,-1.7516,9.7456,-0.7585,5.5118,2.9598,0.8715
1752.40,-1.7415,9.7489,-0.6597,3.6271,2.8209,2.1440
1769.30,-1.7103,9.6526,-0.6656,2.0075,2.9268,3.4371
1785.30,-1.7899,9.6388,-0.8825,1.7455,2.5900,3.2303
1803.70,-1.6725,9.6549,-0.8745,3.4604,2.5837,1.9646
1819.50,-1.6759,9.7575,-0.7761,7.9013,2.3961,-0.1957
1835.80,-1.5848,9.7704,-0.6688,8.1176,2.0259,0.2241
1853.60,-1.4703,9.7862,-0.6463,8.0765,2.8202,0.8105
1868.30,-1.5277,9.7795,-0.7461,8.5181,3.2490,1.0466
1886.10,-1.6842,9.8626,-0.7821,8.4231,3.0963,1.3436
1904.00,-1.8936,10.0408,-0.7251,8.8640,1.5315,1.8930
1923.40,-1.8634,9.9438,-0.7409,10.0960,-1.8327,3.8370
1937.40,-1.7137,9.9598,-0.9247,10.1365,-2.7604,4.4511
1954.40,-1.4523,9.8879,-1.0860,9.8366,-2.9372,4.3479
1971.50,-1.3429,9.9014,-1.1481,9.4436,-2.3979,3.4277
1987.10,-1.3075,9.8101,-1.0155,9.5652,-2.3314,2.9364
